TIMESTAMPms	M202RAWIMUxacc	M202RAWIMUxmag	M202RAWIMUyacc	M202RAWIMUymag	M202RAWIMUzacc	M202RAWIMUzmag
171888	-2560	130	192	77	3648	-679
172008	-1728	73	256	86	4160	-771
172088	-1344	22	256	68	4224	-826
172188	-832	-10	192	68	4352	-847
172288	-128	-83	192	64	4352	-894
172388	384	-147	192	61	4352	-918
172488	1344	-295	192	51	4160	-952
172588	2176	-365	192	49	3840	-951
172688	2880	-484	192	38	3200	-937
172788	3264	-523	128	37	2816	-923
172888	3520	-596	192	35	2368	-892
172984	3840	-644	256	39	1792	-871
173092	3968	-712	192	28	1088	-813
173192	4032	-757	256	25	704	-756
173292	4096	-777	128	24	256	-720
173392	3968	-823	128	25	-384	-621
173484	3776	-831	128	24	-1152	-564
173588	3200	-828	192	29	-1920	-464
173684	2944	-824	128	37	-2496	-406
173788	2112	-760	192	31	-2944	-285
173884	1344	-729	128	35	-3392	-261
174000	640	-645	192	40	-3520	-175
174088	-192	-582	128	43	-3712	-136
174188	-832	-479	128	52	-3456	-99
174288	-1664	-417	192	58	-3264	-93
174388	-2304	-299	192	61	-2944	-82
174488	-2944	-240	192	69	-2560	-83
174588	-3392	-137	192	73	-1984	-117
174688	-3648	-43	192	78	-1408	-159
174788	-3968	6	192	77	-768	-197
174888	-4224	80	128	82	-128	-281
174984	-4096	107	256	77	576	-321
175088	-4096	156	256	79	1536	-443
175188	-3712	162	192	82	2496	-534
175288	-3072	150	256	80	3200	-624
175388	-2688	139	256	74	3584	-656
175488	-2048	85	192	83	3840	-746
175588	-1472	57	320	72	4160	-782
175688	-1088	9	192	67	4416	-838
175788	-448	-26	192	64	4352	-861
175888	384	-158	192	59	4288	-922
175984	1216	-245	128	53	4160	-946
176088	2048	-352	192	47	3840	-955
176188	2624	-437	256	37	3456	-947
176288	3008	-492	192	42	3200	-933
176388	3520	-613	192	38	2560	-889
176488	3904	-669	192	27	1664	-845
176588	3968	-770	192	26	576	-732
176688	3968	-793	128	-12	-256	-706
176788	3904	-831	192	24	-704	-579
176888	3520	-833	192	27	-1536	-508
176984	2752	-803	192	28	-2432	-356
177092	1856	-765	192	31	-3200	-293
177192	960	-671	64	39	-3392	-194
177292	192	-536	192	46	-3520	-116
177392	-960	-471	128	53	-3520	-94
177488	-1728	-362	192	62	-3264	-79
177588	-2304	-311	192	64	-3008	-80
177688	-2880	-195	192	70	-2560	-101
177784	-3264	-147	448	68	-2240	-111
177884	-3776	-45	192	74	-1472	-157
178000	-4032	7	192	76	-576	-203
178088	-4096	84	192	81	128	-285
178188	-4160	119	192	84	896	-343
178288	-4032	162	256	81	1728	-470
178388	-3584	163	192	77	2624	-527
178488	-3072	149	256	39	3200	-637
178588	-2560	137	256	78	3648	-659
178688	-2048	94	320	63	3840	-733
178788	-1600	67	320	68	4160	-774
178888	-1024	-7	256	69	4224	-847
178984	-256	-117	256	21	4416	-902
179092	704	-185	256	53	4288	-929
179192	1536	-298	192	50	4096	-951
179292	2176	-343	192	48	3840	-960
179392	2624	-426	192	40	3520	-949
179484	3008	-475	192	40	3136	-936
179584	3392	-572	128	37	2688	-906
179684	3712	-628	192	25	1984	-874
179784	4032	-724	192	22	1216	-794
179884	4032	-766	192	28	384	-751
180008	3904	-805	192	28	-576	-673
180088	3904	-817	128	26	-832	-630
180188	3648	-836	192	24	-1536	-533
180288	3200	-824	192	27	-2048	-446
180388	2752	-811	192	27	-2496	-382
180488	2048	-748	192	29	-2880	-276
